module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E32-433T33D UART,tx,8,24,19.2,,5,5,5,62.89773027835779,42.356263900232385,607274.7790521715,638525.415201845,31.386000000000003,0.29473684210526313
Ebyte E32-433T33D UART,tx,32,24,19.2,,5,5,5,126.88264177410522,67.17594906382779,619410.4748597618,640806.9018124323,62.074,0.29473684210526313
Ebyte E32-433T33D UART,tx,58,24,19.2,,5,5,5,190.9859491449614,106.30719991724851,623513.7411875223,642273.8719043403,92.82,0.29473684210526313
Ebyte E32-433T33D UART,tx,128,24,19.2,,5,5,0,406.02835355428147,11969.61283315932,622554.6582350966,643578.1837970124,197.63,0.29473684210526313
Ebyte E32-433T33D UART,tx,512,24,19.2,,5,5,0,1507.6510110725571,17829.674694790327,629444.0308129904,650919.0568242641,725.818,0.0
Ebyte E32-433T33D UART,tx,1024,24,19.2,,5,5,0,3022.5100779484374,46031.51528866544,632373.8652867661,654510.317656378,1448.366,0.08938364573954326
Ebyte E32-433T33D UART,tx,8,27,0.3,,5,5,5,562.0996078102821,266.07481624497893,715920.3982290486,733289.5981595251,237.92199999999997,0.05553218342448465
Ebyte E32-433T33D UART,tx,32,27,0.3,,5,5,5,1050.8564483887558,296.36013375607894,719303.3574698807,735269.473478272,442.70799999999997,0.014987877452060833
Ebyte E32-433T33D UART,tx,58,27,0.3,,5,5,5,1639.204925629443,488.3913461276696,721492.4097996654,736259.5336898954,688.4739999999999,0.012214628471717318
Ebyte E32-433T33D UART,tx,128,27,0.3,,5,5,5,3881.38897614981,2373.4595031601248,719212.4605901379,736424.5904117373,1635.37,0.0
Ebyte E32-433T33D UART,tx,512,27,0.3,,5,5,5,14497.077503014538,36540.889954195874,720875.4081568811,739561.1233208061,6094.054,0.0
Ebyte E32-433T33D UART,tx,1024,27,0.3,,5,5,4,29489.332823454737,452033.5512444905,732209.654816607,765250.3626636547,12204.426,0.00206230735017846
Ebyte E32-433T33D UART,tx,8,27,4.8,,5,5,5,188.23852951074633,531.2883804571021,708666.4820477881,731475.3573089412,80.492,0.29473684210526313
Ebyte E32-433T33D UART,tx,32,27,4.8,,5,5,5,383.568999907478,1102.342317762639,715835.1844482466,731805.2781705181,162.374,0.29473684210526313
Ebyte E32-433T33D UART,tx,58,27,4.8,,5,5,5,606.2148474362788,102.02880199301707,721648.7713348027,736919.6380250134,254.558,0.29473684210526313
Ebyte E32-433T33D UART,tx,128,27,4.8,,5,5,5,1440.7576189093493,1113.7710623430194,721746.6616642481,737579.8649123812,604.912,0.18860448529994453
Ebyte E32-433T33D UART,tx,512,27,4.8,,5,5,5,5403.042709156024,9241.281464510923,726068.3756690428,741707.3859286801,2255.002,0.07405083150298086
Ebyte E32-433T33D UART,tx,1024,27,4.8,,5,5,5,10889.852847474725,15231.737987570461,731678.9412606067,748150.6206482283,4510.114,0.03986824656713864
Ebyte E32-433T33D UART,tx,8,27,19.2,,5,5,5,71.05522918994049,210.09312133987837,686340.5504755069,727847.9260556303,31.372000000000003,0.29473684210526313
Ebyte E32-433T33D UART,tx,32,27,19.2,,5,5,5,144.98740813729842,75.58621440739702,707474.5009281609,733949.5274200003,62.102,0.29473684210526313
Ebyte E32-433T33D UART,tx,58,27,19.2,,5,5,5,218.56275959105386,50.7537785210284,713497.7702994576,735104.4342638943,92.826,0.29473684210526313
Ebyte E32-433T33D UART,tx,128,27,19.2,,5,5,0,472.6647081680486,8935.457180024636,710231.2555916556,736259.6037197525,201.666,0.29473684210526313
Ebyte E32-433T33D UART,tx,512,27,19.2,,5,5,0,1709.2359704371113,25208.40174812674,715062.3607049685,739065.7780806375,724.342,0.0
Ebyte E32-433T33D UART,tx,1024,27,19.2,,5,5,0,3442.3378551163228,24848.465096784108,715048.9322740862,739230.7647726223,1458.8539999999998,0.08938364573954326
Ebyte E32-433T33D UART,tx,8,30,0.3,,5,5,5,628.7376935406539,670.4103265127009,800747.1642037196,820044.6321697434,237.936,0.05553218342448465
Ebyte E32-433T33D UART,tx,32,30,0.3,,5,5,5,1170.9024932722352,4931.531888802891,801495.7114533611,819211.3826642875,442.696,0.014987877452060833
Ebyte E32-433T33D UART,tx,58,30,0.3,,5,5,5,1821.9443358659066,4665.476368546108,801924.7410997044,818543.7851344587,688.4739999999999,0.012214628471717318
Ebyte E32-433T33D UART,tx,128,30,0.3,,5,5,5,4342.081907275627,6722.394112338291,804557.1454622258,826557.3890299372,1635.4119999999998,0.0
Ebyte E32-433T33D UART,tx,512,30,0.3,,5,5,5,16129.166216232155,27823.44132473383,802029.8571188223,822046.8295054442,6094.07,0.0
Ebyte E32-433T33D UART,tx,1024,30,0.3,,5,5,5,32183.074678852438,185957.72993128668,798824.1267512282,824400.9020629253,12208.503999999999,0.0
Ebyte E32-433T33D UART,tx,8,30,4.8,,5,5,5,209.67043813256984,266.9024318936383,789332.0497077175,815709.213666516,80.494,0.29473684210526313
Ebyte E32-433T33D UART,tx,32,30,4.8,,5,5,5,426.6241271762915,310.13768029862337,796176.9954494336,813542.2397284019,162.376,0.29473684210526313
Ebyte E32-433T33D UART,tx,58,30,4.8,,5,5,5,675.0622797402294,1214.8962773136798,803593.293621512,819544.3498246486,254.56199999999998,0.29473684210526313
Ebyte E32-433T33D UART,tx,128,30,4.8,,5,5,5,1599.4713560828245,3512.0257283565434,801243.589902581,819044.0149571608,604.92,0.18860448529994453
Ebyte E32-433T33D UART,tx,512,30,4.8,,5,5,5,5961.701718758279,18738.043745999745,801128.2530615189,817709.9753901458,2255.04,0.07405083150298086
Ebyte E32-433T33D UART,tx,1024,30,4.8,,5,5,5,11984.92808674917,58461.02977055112,805278.1686449602,827567.7053777295,4509.99,0.03986824656713864
Ebyte E32-433T33D UART,tx,8,30,19.2,,5,5,5,78.91585736107666,70.45664941671993,762171.9533383638,814709.0166330759,31.375999999999998,0.29473684210526313
Ebyte E32-433T33D UART,tx,32,30,19.2,,5,5,5,160.35412190270392,138.93893850183878,782532.7845815271,813875.5920529772,62.096000000000004,0.29473684210526313
Ebyte E32-433T33D UART,tx,58,30,19.2,,5,5,5,241.2713559957748,978.2607462863698,787715.070646893,811709.7736075053,92.816,0.29473684210526313
Ebyte E32-433T33D UART,tx,128,30,19.2,,5,5,0,515.9701349432632,18425.620149065,778961.1432957823,809543.4999679623,200.718,0.29473684210526313
Ebyte E32-433T33D UART,tx,512,30,19.2,,5,5,0,1902.116053209677,24988.435189064025,787390.7740178456,815376.7192076903,732.05,0.0
Ebyte E32-433T33D UART,tx,1024,30,19.2,,5,5,0,3820.306815413747,31647.34497368391,792012.4362807367,820378.19458389,1461.674,0.08938364573954326
