measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
tx,32,-30.0,38.4,5,5,0,0.44419537905076767,0.002270121822290688,10.367644488060167,18.201648791905168,12.996,0.5257142857142857
tx,64,-30.0,38.4,5,5,0,0.9738348935335692,0.004424149147660201,7.261736406479873,19.059090356820455,40.644,0.5257142857142857
tx,128,-30.0,38.4,5,5,0,2.0274295272530027,0.005396817812867386,6.464945461174698,18.771477841192542,95.034,0.5257142857142857
tx,512,-30.0,38.4,5,5,0,8.324931110185068,0.007950385180016586,6.0280900758854115,20.157173467613372,418.492,0.0
tx,1024,-30.0,38.4,5,5,0,16.721975523082534,0.020650078324202164,5.957002860762883,20.367915341342187,850.64,0.14515089528399697
tx,8,-30.0,250.0,5,5,0,0.07033182975782669,0.0021452749538504122,7.506641056901989,17.918751591312954,2.898,0.5257142857142857
tx,32,-30.0,250.0,5,5,0,0.10303672915431271,0.0019511894200882937,7.888081573301528,17.442436751248156,3.992,0.5257142857142857
tx,64,-30.0,250.0,5,5,0,0.28638731417544055,0.0024888888295392206,3.964801485995858,18.390842594882628,21.898,0.5257142857142857
tx,128,-30.0,250.0,5,5,0,0.6534050836216959,0.003964534340980065,3.411465276570688,19.24864197262661,58.041999999999994,0.0
tx,512,-30.0,250.0,5,5,0,2.8513369567314086,0.005736485123864635,3.155349815255049,19.99424568581741,273.834,0.2994200046064616
tx,1024,-30.0,250.0,5,5,0,5.785608605947181,0.003971464020470185,3.1207664660924554,20.09943874446525,561.7900000000001,0.24119773143755296
tx,8,0.0,1.2,5,5,0,9.938458491965815,0.004323992014760264,15.324676400233505,18.49225130668786,196.524,0.11901110361327526
tx,32,0.0,1.2,5,5,0,18.079487316891743,0.022286527255381706,15.357192101064095,18.884972568745354,356.748,0.18718781824353814
tx,64,0.0,1.2,5,5,0,36.21301944010447,0.017648635153018913,15.083388310136463,19.965996720310216,727.5319999999999,0.09593108624008875
tx,128,0.0,1.2,5,5,0,72.52349319522493,0.026548640401621786,14.95318608550186,22.107458766815178,1469.708,0.02169668040789759
tx,512,0.0,1.2,5,5,0,290.1551910594824,0.11356397176539447,14.848345885535648,23.390109688957065,5921.59,0.0017542731169339985
tx,1024,0.0,1.2,5,5,0,580.514158228384,0.1897955127388906,14.835413804124343,23.905890553349515,11857.666000000001,0.018284569452699993
tx,8,0.0,38.4,5,5,0,0.3463223214296684,0.00383679243518397,13.058942189206522,18.74391365540924,8.058,0.5257142857142857
tx,32,0.0,38.4,5,5,0,0.6051030895775041,0.0017583874864033977,13.72604244976251,21.921374812934268,13.368,0.5257142857142857
tx,64,0.0,38.4,5,5,0,1.2908337089206956,0.003777148743058855,9.587550534300977,21.230233518545234,40.803999999999995,0.5257142857142857
tx,128,0.0,38.4,5,5,0,2.6544961665379807,0.003952745180261241,8.51005634791503,21.00215976397679,94.524,0.5257142857142857
tx,512,0.0,38.4,5,5,0,10.846507902942273,0.0030691622108457804,7.847064556210825,23.031740774450352,418.86,0.0
tx,1024,0.0,38.4,5,5,0,21.763624886581432,0.020148992943119455,7.749498366452874,23.65257486259207,851.0279999999999,0.14515089528399697
tx,8,0.0,250.0,5,5,0,0.08475332717837633,0.0022810748084713434,8.411560185700214,20.30554845737888,3.096,0.5257142857142857
tx,32,0.0,250.0,5,5,0,0.12603198033664004,0.002856154125408127,10.157970749955433,21.631684758784562,3.8019999999999996,0.5257142857142857
tx,64,0.0,250.0,5,5,0,0.3347832125281115,0.004438012729744941,4.6486670273674875,18.932046358273997,21.838,0.5257142857142857
tx,128,0.0,250.0,5,5,0,0.753868788748645,0.0034741868491168604,3.9264746335864125,22.55761451826798,58.184000000000005,0.5257142857142857
tx,512,0.0,250.0,5,5,0,3.24698552665831,0.004958070919254732,3.5921355609852967,23.681699273612033,273.914,0.2994200046064616
tx,1024,0.0,250.0,5,5,0,6.571895066126215,0.00393602629750359,3.5434644336547416,23.769642128244065,562.016,0.24119773143755296
tx,8,10.0,1.2,5,5,0,18.188304800382195,0.017771796096973626,28.043864806229667,30.3691935195737,196.536,0.11901110361327526
tx,32,10.0,1.2,5,5,0,33.111729140303815,0.018340006740974697,28.124668813091173,29.475942461249254,356.76399999999995,0.18718781824353814
tx,64,10.0,1.2,5,5,0,66.2888725894592,0.019406467722217206,27.607199538881666,31.291885673835466,727.6200000000001,0.09593108624008875
tx,128,10.0,1.2,5,5,0,132.58371951635726,0.025198842775272987,27.341858859939943,32.1575032079262,1469.428,0.02169668040789759
tx,512,10.0,1.2,5,5,0,530.4917573009014,0.1517858740038446,27.14879547121554,33.61065831193167,5921.26,0.0017542731169339985
tx,1024,10.0,1.2,5,5,0,1061.4867525321226,0.3138668906012024,27.128127236966122,33.519478690676806,11857.164,0.018284569452699993
tx,8,10.0,38.4,5,5,0,0.602501373014357,0.00267156185615198,23.24871018243189,30.882997029828278,7.876,0.0
tx,32,10.0,38.4,5,5,0,1.0735441128281522,0.0031732195137734553,24.63503254241808,30.94445382895311,13.219999999999999,0.5257142857142857
tx,64,10.0,38.4,5,5,0,2.228569199146966,0.006435653995816907,16.62022787466797,31.353638593921993,40.646,0.5257142857142857
tx,128,10.0,38.4,5,5,0,4.536453946018543,0.003766537165788574,14.524867474701232,32.629913272207745,94.646,0.5257142857142857
tx,512,10.0,38.4,5,5,0,18.366039241906307,0.010287698979695302,13.315600539245686,33.31677642521811,417.966,0.0
tx,1024,10.0,38.4,5,5,0,36.79365465705084,0.0055488491153910385,13.11355903778651,33.84390595774732,850.234,0.14515089528399697
tx,8,10.0,250.0,5,5,0,0.12208785833721322,0.0020178283963407217,13.837021253431,29.870227482335682,2.7340000000000004,0.5257142857142857
tx,32,10.0,250.0,5,5,0,0.20089440048232662,0.0009234120568222898,14.620325378025122,29.64699506193141,4.164,0.5257142857142857
