profile_id,module,payload_bytes,frame_count,max_frame_payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,status_ok_runs,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_uA_mean,tx_peak_uA_mean,energy_total_uJ_mean,energy_total_uJ_stdev,energy_total_mJ_mean,energy_excess_uJ_mean,energy_per_byte_uJ,energy_excess_per_byte_uJ,effective_payload_rate_kbps,energy_cv_percent,sample_loss_percent_mean,sample_loss_percent_max
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,0,38.4,5,5,5,135.576,0.04979959839195415,14259.094102771778,23293.368995089484,6379.530242700627,4.701349921010849,6.3795302427006275,5611.291421059597,12.460020005274663,10.959553556757026,30.21183690328672,0.07369429632205397,0.2686727565824825,0.2686727565824825
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,0,38.4,5,5,5,270.46999999999997,0.04062019202316035,14289.061145567877,24237.390922773535,12753.71629124758,9.73005524574867,12.75371629124758,11221.400954062192,12.454801065671464,10.95839936920136,30.28801715532222,0.07629192169208013,0.195994887089902,0.195994887089902
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,0,250,5,5,5,9.07,0.4083503397819084,10688.702958146994,21251.80890143784,319.4711248297305,2.6425408225463025,0.3194711248297305,271.7137588249943,2.4958681627322696,2.1227637408202678,112.89966923925027,0.8271610850447612,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,0,250,5,5,5,34.948,0.41823438404798674,11008.19616229356,23556.03158269894,1269.426135848266,2.106887690019425,1.2694261358482661,1085.7011053668527,2.4793479215786447,2.1205099714196343,117.2027011560032,0.16597166471695055,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,0,250,5,5,5,69.61800000000001,0.049699094559155686,11038.06277832744,23916.064121219555,2535.876393163659,4.177694452659882,2.535876393163659,2166.7386290768673,2.4764417901988858,2.115955692457878,117.67071734321581,0.1647436154192025,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,10,1.2,5,5,5,954.0220000000002,0.03633180424919631,28134.79924354933,31701.538717994797,88576.0175505107,34.813776775947005,88.5760175505107,83042.34208636284,692.0001371133649,648.7682975497097,1.0733505097366725,0.039303840631686064,0.035596785502400086,0.035596785502400086
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,10,1.2,5,5,5,3814.228,0.05215361924163043,28153.40042340187,34689.25186373507,354365.5118599884,200.33058685243796,354.3655118599884,332227.55124283105,692.1201403515398,648.8819360211544,1.0738739267815138,0.05653219067536956,0.022197558268590455,0.022197558268590455
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,1024,16,64,10,1.2,5,5,5,7627.645999999999,0.3784573952241688,28189.70964143832,34912.399971921084,709569.7052253886,470.20046400923457,709.5697052253886,665250.4086061516,692.9391652591686,649.6586021544449,1.0739879643077301,0.06626557765172338,0.0036420584914593724,0.003642058491459373
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,128,2,64,10,38.4,5,5,5,34.160000000000004,0.40267853183401864,25337.696654560124,32675.97473611842,2855.977551965675,3.9977502572055488,2.855977551965675,2663.816929221305,22.312324624731836,20.811069759541446,29.976580796252925,0.13997835012582746,0.0,0.0
RADIO_CC1101_V2_868,CC1101 V2 868 MHz,512,8,64,10,38.4,5,5,5,135.012,0.5185749704719558,25596.410710710577,34495.316591578405,11404.086461440234,3.0879276929694837,11.404086461440235,10634.678756610014,22.273606370000458,20.770856946503933,30.338044025716233,0.027077378827409432,0.2686727565824825,0.2686727565824825
