module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
CC1101 V1 433 MHz,rx,1024,10.0,250.0,5,5,5,32.21439874635565,0.1059533694617328,14.611983870858262,20.127929785650508,668.078,0.2948671026372306
CC1101 V1 433 MHz,tx,8,-30.0,1.2,5,5,5,7.0984310930902526,0.04782257990901734,10.976156019582605,14.507332088471415,195.974,0.11901110361327526
CC1101 V1 433 MHz,tx,32,-30.0,1.2,5,5,5,12.888745041809122,0.06202217576113075,10.954547573133091,13.806779697961337,356.536,0.18718781824353814
CC1101 V1 433 MHz,tx,64,-30.0,1.2,5,5,5,25.89540600191049,0.07641405041139276,10.786452327658223,14.265537641033932,727.496,0.09593108624008875
CC1101 V1 433 MHz,tx,128,-30.0,1.2,5,5,5,51.77123257156209,0.10016247202299068,10.677347368168473,15.124151169318779,1469.3020000000001,0.02169668040789759
CC1101 V1 433 MHz,tx,512,-30.0,1.2,5,5,5,207.18292185362594,0.21346370670107687,10.60224957722619,15.359955344005138,5921.64,0.0017542731169339985
CC1101 V1 433 MHz,tx,1024,-30.0,1.2,5,5,5,414.0883194237364,0.18130498521678753,10.582394110769714,15.910421352993644,11857.554,0.018284569452699993
CC1101 V1 433 MHz,tx,8,-30.0,38.4,5,5,5,0.2573031327923392,0.0023788625404507274,10.127631483500156,13.364153006518114,7.706,0.5257142857142857
CC1101 V1 433 MHz,tx,32,-30.0,38.4,5,5,5,0.4403335948722209,0.0011236767976631787,10.39270731643071,15.042181895956318,12.844,0.5257142857142857
CC1101 V1 433 MHz,tx,64,-30.0,38.4,5,5,5,0.9674976326758831,0.0026536185942368953,7.230278471043622,14.034713145482408,40.556,0.5257142857142857
CC1101 V1 433 MHz,tx,128,-30.0,38.4,5,5,5,2.0276913251112862,0.0033693633185143523,6.355342811942388,14.727526492147287,96.684,0.5257142857142857
CC1101 V1 433 MHz,tx,512,-30.0,38.4,5,5,5,8.371967903990658,0.007249808635176994,5.871096948392627,15.57585729321105,432.11,0.0
CC1101 V1 433 MHz,tx,1024,-30.0,38.4,5,5,5,16.82768645080494,0.014985367291796312,5.79264535750005,15.8481429136774,880.3059999999999,0.14515089528399697
CC1101 V1 433 MHz,tx,8,-30.0,250.0,5,5,3,0.06835271307290036,0.0010757166773754626,8.82146195264673,13.475970961821464,2.348,0.5257142857142857
CC1101 V1 433 MHz,tx,32,-30.0,250.0,5,5,0,0.09998253563382524,0.0005859636091005865,9.299474583300055,14.318774710747606,3.258,0.5257142857142857
CC1101 V1 433 MHz,tx,64,-30.0,250.0,5,5,0,0.2880358189779073,0.0012042591759370944,4.023348437889347,13.988558797041323,21.696,0.0
CC1101 V1 433 MHz,tx,128,-30.0,250.0,5,5,0,0.6577088449866199,0.0021575799371802468,3.4729703911916294,14.978068385836934,57.388,0.5257142857142857
CC1101 V1 433 MHz,tx,512,-30.0,250.0,5,5,0,2.8841523188226033,0.0025590303874405322,3.1973864235738994,15.886180322084687,273.344,0.2994200046064616
CC1101 V1 433 MHz,tx,1024,-30.0,250.0,5,5,0,5.857635803949495,0.005793888389694524,3.1608011539073226,15.885970569736829,561.58,0.24119773143755296
CC1101 V1 433 MHz,tx,8,0.0,1.2,5,5,5,10.888176453047583,0.004650299674829348,16.835462842757583,19.796831890758792,195.982,0.11901110361327526
CC1101 V1 433 MHz,tx,32,0.0,1.2,5,5,5,19.831735053584055,0.060293692225939194,16.86057106945973,19.155121594217338,356.43,0.18718781824353814
CC1101 V1 433 MHz,tx,64,0.0,1.2,5,5,5,39.70097165882583,0.04954301904286606,16.543132309365117,18.80101970051266,727.226,0.09593108624008875
CC1101 V1 433 MHz,tx,128,0.0,1.2,5,5,5,79.49446789744415,0.12542150726851622,16.391292302970534,19.728639817152352,1469.636,0.02169668040789759
CC1101 V1 433 MHz,tx,512,0.0,1.2,5,5,5,317.7596309596611,0.16973226929532048,16.2610579232464,20.588392770685218,5921.558,0.0017542731169339985
CC1101 V1 433 MHz,tx,1024,0.0,1.2,5,5,5,635.3490664352535,0.16897946870681424,16.236842808603043,20.741792692819253,11857.602,3.231541184031476
