module_label,profile_id,band_mhz,source_run,voltage_mv,ppk_mode,rx_validation_enabled,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,packets_received,packet_success_percent,baseline_median_mA_mean,baseline_median_mA_stdev,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_mA_mean,tx_mean_mA_stdev,tx_peak_mA_mean,tx_peak_mA_stdev,charge_total_uC_mean,charge_total_uC_stdev,charge_excess_uC_mean,charge_excess_uC_stdev,energy_total_uJ_mean,energy_total_uJ_stdev,energy_excess_uJ_mean,energy_excess_uJ_stdev,energy_excess_mJ_mean,energy_excess_per_payload_byte_uJ
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,0.0,250.0,5,5,0,0.0,1.7401198003474971,0.0019439907874755247,2.096,0.3657594838141589,8.588283567550468,0.9230255157582964,20.545276384625776,3.70576929632154,17.73247941249096,0.7929517198001326,14.373542321363583,0.4499303473201113,58.51718206122017,2.616740675340438,47.432689660499825,1.4847701461563672,0.04743268966049983,5.929086207562478
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,0.0,250.0,5,5,,,1.7905847929119705,0.0019471524490136838,2.816,0.005477225575051544,11.649516597035808,0.1205327005139224,18.90074628074388,1.7886721852342793,32.80482613809053,0.3192799660033856,27.825881675107944,0.31872497283835677,108.25592625569875,1.0536238878111752,91.82540952785621,1.0517924103665763,0.09182540952785621,2.8695440477455065
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,0.0,250.0,5,5,0,0.0,1.7392504212378117,0.0,2.822,0.01483239697419137,10.863722946208764,0.12403722981016878,20.730293648206157,3.1260183211574413,30.658338655234427,0.46663636162028527,25.874993594474297,0.4739164537236449,101.17251756227361,1.53989999334694,85.38747886176516,1.563924297288031,0.08538747886176516,2.6683587144301613
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,0.0,250.0,5,5,,,1.7914555859596804,0.0,4.13,0.2404163056034259,12.607589988200829,0.5960013654688427,18.059847519769278,1.0034768747770915,51.95496085625952,0.41241974940126896,44.6999546456298,0.1961759268663984,171.4513708256564,1.3609851730241822,147.50985033057836,0.647380558659116,0.14750985033057837,2.304841411415287
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,0.0,250.0,5,5,0,0.0,1.7392504212378117,0.0,4.1899999999999995,0.3635244145858708,11.531179494706686,0.8076358642891686,19.673071955933228,2.8511660751464314,48.08131128099201,0.48463995095205165,41.063897153157036,0.27247851345812385,158.6683272272736,1.599311838141763,135.5108606054182,0.8991790944118072,0.1355108606054182,2.1173571969596594
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,10.0,1.2,5,5,,,1.7923265075472106,0.001947439872789686,102.73599999999999,0.22029525641738013,49.194099922189984,0.09418400064628872,51.22218875343123,0.13270057065909904,5053.98895077784,2.7524466384668047,4869.99634654822,2.5599976274936647,16678.16353756687,9.083073906940882,16070.987943609125,8.44799217072916,16.070987943609126,2008.8734929511406
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,10.0,1.2,5,5,5,100.0,1.7401198003474971,0.0019439907874755247,103.14000000000001,0.4615733961137706,27.845875314259786,0.12203259672656563,30.236499125007324,0.8932415393418577,2871.978849587005,1.5623710215711337,2693.014870812489,1.3371980270411876,9477.530203637116,5.155824371184642,8886.949073681211,4.4127534892357545,8.886949073681212,1110.8686342101514
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,10.0,1.2,5,5,,,1.7914555859596804,0.0,262.96999999999997,0.24052026941613736,49.504038093623564,0.06533109480791668,51.07052558715371,0.07059889825307401,13018.064519165962,5.853888045981675,12547.111704358947,6.066548557786705,42959.61291324768,19.31783055174018,41405.46862438453,20.01961024069634,41.405468624384525,1293.9208945120165
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,10.0,1.2,5,5,5,100.0,1.7392504212378117,0.0,262.84999999999997,0.012247448713904752,28.134717684009065,0.011550349496960375,32.1818109615288,2.185241500231195,7395.210484969514,2.873793897947868,6938.195471821787,2.8694631730103066,24404.194600399398,9.483519863227711,22896.045057011892,9.469228470934935,22.896045057011893,715.5014080316216
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,10.0,1.2,5,5,,,1.7923265075472106,0.001947439872789686,471.716,10.956994569680138,49.539243249747365,0.043138683332282636,51.10301837411282,0.08898328504088043,23368.520710427307,546.654187886689,22523.18070320482,526.865635920777,77116.11834441012,1803.9588200260719,74326.49632057591,1738.6565985385644,74.32649632057591,1161.3515050089986
