module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,rf_profile,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E32-868T20D UART,tx,1024,10,4.8,,5,5,5,677.5104952702851,336.14442715124613,53258.56005872276,79142.78819381262,3854.8959999999997,0.03986824656713864
Ebyte E32-868T20D UART,tx,8,10,19.2,,5,5,5,4.220218519875783,4.1201272866156184,53688.24924148008,74781.1019407997,23.82,0.29473684210526313
Ebyte E32-868T20D UART,tx,32,10,19.2,,5,5,5,9.402135637661502,9.70506169540284,53745.032728935104,78089.89734426273,53.012,0.29473684210526313
Ebyte E32-868T20D UART,tx,58,10,19.2,,5,5,5,15.157006467157926,11.91101516699435,53864.574443240635,77187.16436445479,85.27,0.29473684210526313
Ebyte E32-868T20D UART,tx,128,10,19.2,,5,5,5,35.31445743936692,46.5270336156868,53782.119454645166,77337.46229391094,198.976,0.29473684210526313
Ebyte E32-868T20D UART,tx,512,10,19.2,,5,5,5,134.0051942674518,58.81335339541707,53775.972134014744,77788.60118677931,755.126,0.0
Ebyte E32-868T20D UART,tx,1024,10,19.2,,5,5,5,267.81864869364506,83.87554531372542,53737.49968615911,79142.57810424129,1510.252,0.08938364573954326
Ebyte E32-868T20D UART,tx,8,14,0.3,,5,5,5,334.48328938916,697.9869845610284,61546.936299418696,85313.89709336814,1646.85,0.05553218342448465
Ebyte E32-868T20D UART,tx,32,14,0.3,,5,5,5,633.9521236546136,851.2633666078785,61544.729725526064,87572.79542367272,3121.416,0.014987877452060833
Ebyte E32-868T20D UART,tx,58,14,0.3,,5,5,5,1000.5161461367964,1197.6954517397364,61577.35757549167,89531.92074588602,4923.6720000000005,0.012214628471717318
Ebyte E32-868T20D UART,tx,128,14,0.3,,5,5,5,2361.262688985514,2609.505863710821,61376.945374897485,89380.57236857321,11658.028,0.0
Ebyte E32-868T20D UART,tx,512,14,0.3,,5,5,5,8872.392242157173,9621.568590221923,61583.74290136535,91490.34576952821,43657.686,0.0
Ebyte E32-868T20D UART,tx,1024,14,0.3,,5,5,5,17786.585419624203,16210.68681816218,61728.835339493715,93299.50580410662,87315.34199999999,0.00206230735017846
Ebyte E32-868T20D UART,tx,8,14,4.8,,5,5,5,13.20463571649834,60.4236531215368,62529.77379889715,85615.31580310149,63.992,0.29473684210526313
Ebyte E32-868T20D UART,tx,32,14,4.8,,5,5,5,28.508560814216604,122.54831163157479,62731.15142134817,87572.7253938156,137.714,0.29473684210526313
Ebyte E32-868T20D UART,tx,58,14,4.8,,5,5,5,44.95328629690013,157.52690153655746,62603.20902273996,87723.163382986,217.596,0.29473684210526313
Ebyte E32-868T20D UART,tx,128,14,4.8,,5,5,5,105.08375821485464,523.250639990815,62258.90055283572,90585.94958061392,511.46999999999997,0.18860448529994453
Ebyte E32-868T20D UART,tx,512,14,4.8,,5,5,5,392.10664560577356,598.824303651983,61640.625458839335,91942.64015503888,1927.628,0.07405083150298086
Ebyte E32-868T20D UART,tx,1024,14,4.8,,5,5,5,783.0979211741295,1636.8938611791061,61552.826988650675,91490.48582924243,3855.264,0.03986824656713864
Ebyte E32-868T20D UART,tx,8,14,19.2,,5,5,5,4.95338168020207,23.070538178469576,62925.57000343704,88025.10731664766,23.854,0.29473684210526313
Ebyte E32-868T20D UART,tx,32,14,19.2,,5,5,5,11.069000529078691,44.38465950022021,63227.946928733276,88326.45599652392,53.05,0.29473684210526313
Ebyte E32-868T20D UART,tx,58,14,19.2,,5,5,5,17.75843681769541,61.436671177093665,63097.62371326344,88928.55810249099,85.286,0.29473684210526313
Ebyte E32-868T20D UART,tx,128,14,19.2,,5,5,5,41.36697934953798,218.44724624048635,62974.47317647965,90133.95282199598,199.05599999999998,0.29473684210526313
Ebyte E32-868T20D UART,tx,512,14,19.2,,5,5,5,155.18175993300238,504.8855373100997,62250.33342009118,90435.26648694367,755.414,0.0
Ebyte E32-868T20D UART,tx,1024,14,19.2,,5,5,5,310.3738398604753,250.94732604654888,62253.395419116074,91791.67694194018,1510.804,0.08938364573954326
Ebyte E32-868T20D UART,tx,8,20,0.3,,5,5,5,540.5561962895059,1272.0269464964213,99463.17578441757,142788.21924489414,1646.89,0.05553218342448465
Ebyte E32-868T20D UART,tx,32,20,0.3,,5,5,5,1025.920282542431,943.6725247540265,99595.87364620113,141876.5224433762,3121.464,0.014987877452060833
Ebyte E32-868T20D UART,tx,58,20,0.3,,5,5,5,1620.6411856327757,2134.782444716001,99742.59034787545,145523.04703748383,4923.7080000000005,0.012214628471717318
