module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_uJ_stdev,event_mean_uA_mean,event_peak_uA_mean,event_duration_ms_mean,sample_loss_percent_max
Ebyte E32-868T30D UART,tx,58,27,19.2,5,5,5,127.70528734420306,121.98319992730251,431268.41208143765,497932.925317936,89.732,0.29473684210526313
Ebyte E32-868T30D UART,tx,128,27,19.2,5,5,5,298.7016389750779,311.63498249085757,426012.1341881252,499371.9359893932,212.47199999999998,0.29473684210526313
Ebyte E32-868T30D UART,tx,512,27,19.2,5,5,5,1128.3405822017319,1480.6348250080287,428899.6805192969,498732.2628650869,797.206,0.0
Ebyte E32-868T30D UART,tx,1024,27,19.2,5,5,5,2251.7146035925607,1529.1263767538928,428398.0633043889,498572.3533377425,1592.766,0.08938364573954326
Ebyte E32-868T30D UART,tx,8,30,0.3,5,5,5,2814.282260866847,4133.871045956191,516333.6268885714,571852.9420784872,1651.67,0.05553218342448465
Ebyte E32-868T30D UART,tx,32,30,0.3,5,5,5,5305.488788055225,4701.7710917174345,514246.8403100992,569592.1492906758,3126.366,0.014987877452060833
Ebyte E32-868T30D UART,tx,58,30,0.3,5,5,5,8339.709326722084,10355.202572168451,512803.45876554644,569107.7987380733,4928.174000000001,0.012214628471717318
Ebyte E32-868T30D UART,tx,128,30,0.3,5,5,5,19664.383107490747,14074.68088228081,510503.9120647651,569430.6115691536,11672.592,0.0
Ebyte E32-868T30D UART,tx,512,30,0.3,5,5,5,72822.72695629796,39206.3400885223,504940.25928305805,567977.7349859888,43703.176,0.0
Ebyte E32-868T30D UART,tx,1024,30,0.3,5,5,5,144285.2742860331,439556.5554787696,500227.9560877906,568462.4531953412,87405.772,0.0
Ebyte E32-868T30D UART,tx,8,30,4.8,5,5,5,109.65716879982776,59.05039962852816,480069.4431872073,564427.3715904268,69.21799999999999,0.29473684210526313
Ebyte E32-868T30D UART,tx,32,30,4.8,5,5,5,235.0844601313232,204.49142460200227,500079.5245106958,566040.9630442928,142.454,0.29473684210526313
Ebyte E32-868T30D UART,tx,58,30,4.8,5,5,5,371.2269429367826,189.00464845574422,506780.0513535455,564911.4945459936,221.97600000000003,0.29473684210526313
Ebyte E32-868T30D UART,tx,128,30,4.8,5,5,5,872.800055724628,814.247857976755,503778.8466703767,567009.2964927478,525.0020000000001,0.18860448529994453
Ebyte E32-868T30D UART,tx,512,30,4.8,5,5,5,3275.175293211696,3789.3683762341548,504047.97378670506,567816.3723391093,1969.014,0.07405083150298086
Ebyte E32-868T30D UART,tx,1024,30,4.8,5,5,5,6525.033866781821,11316.07823779097,502415.7196750593,566525.0859998596,3935.5520000000006,0.03986824656713864
Ebyte E32-868T30D UART,tx,8,30,19.2,5,5,5,41.74860297094136,36.16756834051428,435463.6998310362,565395.4599343821,29.052,0.29473684210526313
Ebyte E32-868T30D UART,tx,32,30,19.2,5,5,5,91.64829829241222,33.29241297745203,479260.9604101505,567493.4719707076,57.948,0.29473684210526313
Ebyte E32-868T30D UART,tx,58,30,19.2,5,5,5,146.8913711850361,51.14929728404127,495806.853323913,568623.4306780065,89.77799999999999,0.29473684210526313
Ebyte E32-868T30D UART,tx,128,30,19.2,5,5,5,343.362813850751,269.0872280569304,489639.2839372152,568300.5828319977,212.502,0.29473684210526313
Ebyte E32-868T30D UART,tx,512,30,19.2,5,5,5,1298.4309759840535,1868.6239076736358,493450.78468878166,569107.7987380733,797.3720000000001,0.0
