slug,code,label,direction,payload_bytes,mode,rate_kbps,power_dbm,energy_mJ,energy_per_bit_uJ,duration_ms,runs,packets_received
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,tx,512,19.2 kbps,19.2,20.0,249.792514948535,60.98450071985718,755.57,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,rx,512,19.2 kbps,19.2,20.0,38.65124385100712,9.436338830812286,800.0,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,tx,1024,19.2 kbps,19.2,20.0,498.82293110798605,60.89147108251783,1511.066,5,5
ebyte_e32_433t20d,E32-43-20,Ebyte E32-433T20D,rx,1024,19.2 kbps,19.2,20.0,77.05878489414653,9.406589952898745,1600.0,5,4
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,tx,8,19.2 kbps,19.2,30.0,78.91585736107666,1233.0602712668228,31.375999999999998,5,5
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,rx,8,19.2 kbps,19.2,30.0,5.644168287709051,88.19012949545392,40.0,5,5
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,tx,32,19.2 kbps,19.2,30.0,160.35412190270392,626.3832886824372,62.096000000000004,5,5
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,rx,32,19.2 kbps,19.2,30.0,10.366580210963757,40.494453949077176,64.0,5,5
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,tx,58,19.2 kbps,19.2,30.0,241.2713559957748,519.9813706805492,92.816,5,5
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,rx,58,19.2 kbps,19.2,30.0,15.574490313991816,33.56571188360305,90.0,5,5
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,tx,128,19.2 kbps,19.2,30.0,515.9701349432632,503.8770849055305,200.718,5,0
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,rx,128,19.2 kbps,19.2,30.0,37.47510163827359,36.59677894362655,224.0,5,0
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,tx,512,19.2 kbps,19.2,30.0,1902.116053209677,464.38380205314377,732.05,5,0
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,rx,512,19.2 kbps,19.2,30.0,136.48819347633398,33.3223128604331,800.0,5,0
ebyte_e32_433t33d,E32-43-33,Ebyte E32-433T33D,tx,1024,19.2 kbps,19.2,30.0,3820.306815413747,466.3460468034359,1461.674,5,0
